bodyid,name,type,PN_type,tract,glomerulus
5901194250,M_lvPNm37_R,M_lvPNm37,mPN,mALT,
757569579,M_lvPNm44_R,M_lvPNm44,mPN,mALT,
1762674761,M_adPNm8_R,M_adPNm8,mPN,mALT,
1849683877,M_lvPNm46_R,M_lvPNm46,mPN,mALT,
1765415970,M_lvPNm41_R,M_lvPNm41,mPN,mALT,
757591093,M_lvPNm45_R,M_lvPNm45,mPN,mALT,
762982753,M_adPNm5_R,M_adPNm5,mPN,mALT,
792024028,M_lvPNm43_R,M_lvPNm43,mPN,mALT,
792023887,M_lvPNm45_R,M_lvPNm45,mPN,mALT,
788940872,M_adPNm6_R,M_adPNm6,mPN,mALT,
1795410644,M_lvPNm41_R,M_lvPNm41,mPN,mALT,
1732313117,M_lvPNm40_R,M_lvPNm40,mPN,mALT,
2040344064,M_adPNm5_R,M_adPNm5,mPN,mALT,
1916528384,M_adPNm5_R,M_adPNm5,mPN,mALT,
851684181,M_lvPNm42_R,M_lvPNm42,mPN,mALT,
1943811511,M_lvPNm31_R,M_lvPNm31,mPN,mALT,
697844568,M_lvPNm40_R,M_lvPNm40,mPN,mALT,
639276164,M_lvPNm25_R,M_lvPNm25,mPN,mALT,
1693486219,M_lPNm13_R,M_lPNm13,mPN,mALT,
1912435859,M_lvPNm47_R,M_lvPNm47,mPN,mALT,
1411784734,M_lvPNm25_R,M_lvPNm25,mPN,mALT,
5812992942,M_lvPNm37_R,M_lvPNm37,mPN,mALT,
1856820042,M_lvPNm47_R,M_lvPNm47,mPN,mALT,
1670597454,M_lvPNm35_R,M_lvPNm35,mPN,mALT,
1827861966,M_lPNm11D_R,M_lPNm11D,mPN,mALT,
1730656082,M_lvPNm26_R,M_lvPNm26,mPN,mALT,
1825085656,M_lPNm11D_R,M_lPNm11D,mPN,mALT,
329599710,M_lvPNm32_R,M_lvPNm32,mPN,mALT,
1857148391,M_lPNm11D_R,M_lPNm11D,mPN,mALT,
1856833015,M_lPNm12_R,M_lPNm12,mPN,mALT,
1759999022,M_lvPNm33_R,M_lvPNm33,mPN,mALT,
1670973150,M_lvPNm27_R,M_lvPNm27,mPN,mALT,
5813069532,M_lvPNm34_R,M_lvPNm34,mPN,mALT,
1723506321,M_l2PNm14_R,M_l2PNm14,mPN,mALT,
5901194556,M_lvPNm37_R,M_lvPNm37,mPN,mALT,
977866721,M_vPNml65_R,M_vPNml65,mPN,mlALT,
636418270,M_vPNml58_R,M_vPNml58,mPN,mlALT,
634707780,M_vPNml58_R,M_vPNml58,mPN,mlALT,
1857143769,M_vPNml63_R,M_vPNml63,mPN,mlALT,
886812643,M_vPNml55_R,M_vPNml55,mPN,mlALT,
1099911913,M_vPNml64_R,M_vPNml64,mPN,mlALT,
1322012611,M_vPNml64_R,M_vPNml64,mPN,mlALT,
542665377,M_vPNml79_R,M_vPNml79,mPN,mlALT,
667823920,M_vPNml56_R,M_vPNml56,mPN,mlALT,
5813041247,M_vPNml65_R,M_vPNml65,mPN,mlALT,
823037476,M_vPNml52_R,M_vPNml52,mPN,mlALT,
1447205602,M_vPNml83_R,M_vPNml83,mPN,mlALT,
5812996003,M_vPNml72_R,M_vPNml72,mPN,mlALT,
2383731281,M_vPNml51_R,M_vPNml51,mPN,mlALT,
1415829574,M_vPNml72_R,M_vPNml72,mPN,mlALT,
882353566,M_vPNml68_R,M_vPNml68,mPN,mlALT,
1539978151,M_vPNml76_R,M_vPNml76,mPN,mlALT,
1701325725,M_vPNml73_R,M_vPNml73,mPN,mlALT,
5813013823,M_vPNml87_R,M_vPNml87,mPN,mlALT,
5813014622,M_vPNml82_R,M_vPNml82,mPN,mlALT,
5813008771,M_vPNml53_R,M_vPNml53,mPN,mlALT,
294792184,M_vPNml53_R,M_vPNml53,mPN,mlALT,
1570685257,M_vPNml72_R,M_vPNml72,mPN,mlALT,
1069929827,M_vPNml57_R,M_vPNml57,mPN,mlALT,
697145036,M_vPNml83_R,M_vPNml83,mPN,mlALT,
573669915,M_vPNml83_R,M_vPNml83,mPN,mlALT,
5813071369,M_vPNml76_R,M_vPNml76,mPN,mlALT,
727855437,M_vPNml71_R,M_vPNml71,mPN,mlALT,
1570685132,M_vPNml76_R,M_vPNml76,mPN,mlALT,
634379734,M_vPNml88_R,M_vPNml88,mPN,mlALT,
572663539,M_vPNml87_R,M_vPNml87,mPN,mlALT,
1322353714,M_vPNml66_R,M_vPNml66,mPN,mlALT,
1322353841,M_vPNml77_R,M_vPNml77,mPN,mlALT,
604726283,M_vPNml77_R,M_vPNml77,mPN,mlALT,
1037518512,M_vPNml67_R,M_vPNml67,mPN,mlALT,
1447205712,M_vPNml77_R,M_vPNml77,mPN,mlALT,
542311358,M_vPNml69_R,M_vPNml69,mPN,mlALT,
1570685224,M_vPNml53_R,M_vPNml53,mPN,mlALT,
1322353824,M_vPNml75_R,M_vPNml75,mPN,mlALT,
603349484,M_vPNml85_R,M_vPNml85,mPN,mlALT,
635407942,M_vPNml85_R,M_vPNml85,mPN,mlALT,
760250272,M_vPNml84_R,M_vPNml84,mPN,mlALT,
5813071409,M_vPNml66_R,M_vPNml66,mPN,mlALT,
